age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,Scaling.Mode
21,0.558,0.93,0.65,18,14007,237,1002,3207,1
26,0.48,0.99,0.68,24,12889,353,1246,2956,1
21,0.49,1.13,0.76,43,10748,406,289,2068,1
25,0.51,1.1,0.7,25,16842,364,1715,3931,1
25,0.397,1,0.66,25,17403,1015,1871,3905,1
21,0.316,1.15,0.71,12,3419,7679,172,2459,1
24,0.363,1.02,0.68,18,4529,7276,684,2673,1
24,0.494,1.05,0.69,24,16462,329,1178,3798,3
25,0.504,1.19,0.8,68,23581,3296,1138,6308,1
24,0.366,1.1,0.7,8,2604,3064,357,1147,2
26,0.444,1.02,0.67,25,15315,2886,1640,4256,1
23,0.538,1.04,0.68,20,10012,286,402,2269,1
29,0.397,1.02,0.67,9,5726,5066,724,2223,2
21,0.49,1,0.65,10,5492,89,302,1139,1
22,0.496,0.96,0.67,12,6461,221,557,1441,3
24,0.376,1.16,0.75,8,4112,4257,327,1734,1
30,0.466,1.1,0.71,31,17746,4005,1357,5331,1
23,0.317,1.19,0.74,18,7051,10272,391,3442,3
31,0.305,1.2,0.76,33,5625,16854,1023,5191,1
24,0.269,1.19,0.74,19,3782,9345,556,2879,1
24,0.536,1.08,0.72,23,8327,113,724,1736,1
34,0.373,1.04,0.72,28,14682,7622,943,5317,1
18,0.448,1.03,0.71,13,7360,436,492,1500,1
25,0.512,1.11,0.72,25,14906,752,919,3471,1
22,0.464,1.04,0.62,13,8644,218,838,1999,1
22,0.447,0.98,0.69,13,8235,267,505,1901,2
25,0.533,0.98,0.65,17,17039,679,1177,3651,2
19,0.292,1.09,0.68,10,2736,3909,181,1552,1
26,0.466,1.13,0.72,14,12059,2013,422,3279,3
28,0.518,0.98,0.66,16,14758,827,1165,2898,1
24,0.545,1.01,0.71,30,16674,1495,1786,4512,1
20,0.416,1.05,0.69,13,13951,229,1264,3051,3
23,0.336,1.15,0.74,33,6183,11134,375,3612,2
21,0.548,0.95,0.66,5,5684,290,402,1091,1
24,0.533,0.99,0.67,9,8676,590,987,2311,1
23,0.563,1.09,0.7,24,18090,322,1175,3607,1
23,0.564,0.99,0.64,5,6358,81,433,1317,1
27,0.58,0.98,0.66,24,12794,112,1055,2779,2
27,0.56,1.03,0.71,52,22782,213,1545,5748,1
21,0.423,1.1,0.7,29,16167,492,940,3358,2
28,0.43,1.1,0.72,30,21723,3916,1780,5507,1
20,0.487,1.11,0.7,8,7726,2197,215,2006,2
24,0.492,1.08,0.7,28,13187,814,988,3113,3
30,0.436,1.01,0.68,9,7428,556,923,1903,2
24,0.496,1.06,0.7,29,18513,979,1004,4320,1
22,0.55,1.03,0.76,17,5414,548,180,1525,1
30,0.542,1,0.68,20,15379,435,878,3245,2
25,0.553,0.94,0.66,12,11329,351,883,2555,1
22,0.516,1.2,0.74,28,16807,1080,738,3679,3
28,0.473,0.99,0.66,17,18454,148,1128,4376,1
24,0.53,0.99,0.66,21,16941,323,1431,4136,1
24,0.413,1.34,0.86,64,14717,13451,901,6057,1
27,0.309,1.3,0.79,14,2545,4412,264,1209,1
19,0.526,0.96,0.68,10,6394,28,345,1340,2
27,0.465,0.85,0.61,14,9958,878,1506,2487,1
25,0.506,1.11,0.69,22,14096,741,1463,3308,3
25,0.527,0.91,0.61,5,4552,49,324,1075,1
