name,age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills
Subroza,25,48.40%,1.03,0.72,19,8043,552,967,2026
USTILO,28,46.00%,1.05,0.7,25,15518,204,1591,3442
TRAVIS,24,54.60%,1.05,0.7,16,7288,42,417,1645
Lucky,24,41.40%,1.07,0.69,23,14530,2790,1111,3670
dobu,23,54.50%,1.04,0.71,17,11252,340,684,2567
alex,26,45.70%,1.07,0.7,25,17048,1257,1328,4226
yam,33,34.60%,1.07,0.7,13,3399,3743,554,1808
Patsi,18,44.80%,1.03,0.71,13,7360,436,492,1500
Relaxa,29,30.20%,1.1,0.67,23,6922,9827,608,3788
znajder,29,47.90%,1.06,0.72,23,13453,1722,787,3336
DEV7L,25,34.20%,1.06,0.7,13,3446,4069,351,2026
AiyvaN,26,37.80%,1.05,0.7,20,4625,4915,654,2264
Maden,23,50.90%,1.03,0.72,11,9432,849,750,2233
captainMo,33,40.20%,1.04,0.71,14,7174,4145,850,2636
Thomas,24,41.50%,1.05,0.71,19,12825,494,1339,3047
RCF,22,43.20%,1.05,0.71,14,5242,3866,774,2055
JonY BoY,30,34.60%,1.05,0.7,14,2262,3566,308,1377
rain,27,56.00%,1.03,0.71,52,22782,213,1545,5748
kressy,26,47.90%,1.06,0.69,19,15370,233,1216,3272
cxzi,22,36.90%,1.01,0.73,13,4534,2054,420,1476
juho,27,46.00%,1.01,0.73,21,9212,1381,965,2977
F1KU,19,54.70%,1.03,0.7,16,8612,366,378,2085
DiMKE,28,46.90%,1.04,0.71,13,9182,83,645,1935
stfN,29,46.50%,1.06,0.69,20,17713,1282,1071,4544
chawzyyy,17,40.20%,1.06,0.68,7,4435,1405,263,1198
imoRR,22,50.90%,1.01,0.72,18,7697,1952,774,1946
shuadapai,31,52.40%,1.05,0.7,12,7524,108,442,1736
aizy,26,50.40%,1.04,0.7,38,20670,1274,1439,5003
Spargo,21,32.90%,1.05,0.7,8,2149,4521,226,1448
RIKO,26,52.70%,1.02,0.72,11,5265,178,631,1419
dennis,31,54.40%,1.04,0.71,36,20505,2668,912,5385
food,25,50.20%,1.05,0.7,6,5296,849,605,1376
fl0m,29,30.10%,1.06,0.7,16,3698,5521,570,2427
Forester,22,53.80%,1.05,0.69,33,17361,111,920,3616
b0denmaster,24,33.40%,1.06,0.69,11,3034,4937,314,1494
pashaBiceps,34,37.30%,1.04,0.72,28,14682,7622,943,5317
KENSI,20,54.40%,1.07,0.68,12,7744,206,250,1668
hoody,23,49.60%,1.04,0.7,10,7592,556,642,1937
CyberFocus,27,29.70%,1.04,0.71,16,2153,4835,340,1655
kai,27,35.30%,1.05,0.69,9,6007,752,405,1582
glowiing,28,55.20%,1.02,0.72,7,6703,724,357,1703
Swisher,23,47.40%,1.03,0.71,16,8315,292,519,1982
flamie,25,54.50%,1.05,0.7,35,21090,1754,1628,5124
sLowi,26,51.60%,1.04,0.69,19,11504,4069,1551,3308
smiley,25,28.80%,1.08,0.68,7,2009,5245,213,1233
niko,24,49.40%,1.05,0.69,24,16462,329,1178,3798
AMANEK,28,45.20%,1.07,0.68,18,9930,2939,2687,2813
dragonfly,25,25.10%,1.06,0.69,9,1259,5965,379,1375
HS,25,49.20%,1.02,0.71,23,14653,491,1671,3163
jdm64,32,23.60%,1.06,0.69,14,1539,9275,1024,2645
fnx,32,49.60%,1.06,0.69,14,8855,302,730,2121
NBK-,28,53.70%,1.04,0.69,55,26354,1429,1717,6915
kolor,22,27.60%,1.03,0.71,12,2297,5702,513,1717
